Route,EvidenceRole,PrescribedTipDisplacement,MeasuredTipDisplacement,TipReactionForce,RelativeForceBalanceError,TipConstraintError,GeometricTipRotationRad,ContinuationSubstepCount,NewtonIterations,MaximumSubstepNewtonIterations,ResidualInfinityNorm,RelativeResidual,LineSearchCount,Converged,MaximumPolarRotationRad,MinimumDeformationJacobian
production-cosserat,qualification,0.005,0.005000000000000001,0.4500604610858395,4.93366167712922e-16,8.673617379884035e-19,0.007776657035067397,1,5,5,3.5514396978797436e-11,3.9455139975097493e-10,0,True,,
production-cosserat,qualification,0.01,0.009999999999999998,0.900131277390122,1.4800814759076254e-15,1.734723475976807e-18,0.016570159463695985,1,6,6,3.5234037909503968e-12,1.95716107164185e-11,0,True,,
production-cosserat,qualification,0.015,0.015,1.3498292477984803,6.579931655420196e-16,0.0,0.027232339035909936,1,6,6,2.802647003363745e-12,1.0381487169339214e-11,0,True,,
production-cosserat,qualification,0.025,0.025,2.243647619314315,6.927612968698869e-16,0.0,0.05771642051071524,2,13,7,3.3495428652940973e-12,7.464502973773031e-12,0,True,,
production-cosserat,qualification,0.035,0.035,3.1147104109455004,2.851560185431525e-16,0.0,0.1057763719007484,2,14,7,7.703672144643292e-10,1.2366594527651076e-09,0,True,,
production-cosserat,range-holdout,0.05,0.049999999999999996,4.342750345090118,2.0451979716132964e-16,6.938893903907228e-18,0.20825821172594933,3,25,9,2.732203352451279e-11,3.1457062176510886e-11,4,True,,
independent-3d-solid,qualification,0.005,0.005000000000000001,0.18887546018815787,8.978750698611158e-14,0.0,,1,7,7,,3.188043488712057e-11,,True,0.008904403546307818,0.9989710996990829
independent-3d-solid,qualification,0.01,0.010000000000000002,0.37599672402376894,4.2814824780353954e-14,0.0,,1,12,12,,2.5438499275165047e-11,,True,0.018976084796775983,0.9979508511096071
independent-3d-solid,qualification,0.015,0.015000000000000001,0.5591382884159498,4.110184740674463e-14,0.0,,1,18,18,,9.509661811689096e-12,,True,0.031250376177150437,0.9969440982607953
independent-3d-solid,qualification,0.025,0.025000000000000005,0.8995021617858503,9.306349624612278e-14,0.0,,5,59,18,,5.669124723050898e-12,,True,0.06800105736744029,0.9950183944758058
independent-3d-solid,qualification,0.035,0.03499999999999999,1.1742808699328757,5.4310767678113426e-11,0.0,,5,61,18,,1.1908878199882303e-09,,True,0.12578367645262808,0.9933586334184146
independent-3d-solid,range-holdout,0.05,0.05000000000000001,1.4494200607327292,2.3973760143169455e-10,0.0,,11,115,18,,1.9067533245979957e-09,,True,0.2326326938676133,0.9916070254523512
